url;categoria;subcategoria
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQABvJozNvLTT4Xfkns-IjS_ARAFTORzOxvOG3_TtCYPSGQ;ED. CALATRAVA (Torre 2);Sala Computo 3 (Windows) C sotano T2
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQC260a7QBL1R7NfrVAFfK_TAQ0hUXa3_9t763xo06R9Q9s;ED. CALATRAVA (Torre 2);Aula de Informática D
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQAJBg4G6Dw6RbaRq_nq16VzAYpC24bqMTU6bx08fRLktus;ED. CALATRAVA (Torre 2);Salón HIPATIA
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQDz1lgJULRQRoS6QxiBlH3KAWEFTwngGLxojCiOTpZWuLY;ED. CALATRAVA (Torre 2);Sala LOVE LACE
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQDiK0gHvyiPQY1ncq8TZInQAXvLr2-FRiPvf1trOMIumy8;ED. CALATRAVA (Torre 2);Salón 701
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQA4YnRuv33MSYvU2-p0coqOAS3joQ_9kBtT5DZgta_Fz88;ED. CALATRAVA (Torre 2);Salón 702
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQDASkSl2rFDSotiGghiD6wAAZjCnCPCRxHOrt0lPOk1duA;ED. CALATRAVA (Torre 2);Salón 802
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQBfZ3h-L2vnS6Oa1-pA8uNHAUkwwteXoAMV4X9xy3x9aB0;ED. CALATRAVA (Torre 2);Salón 902
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQDsQoTfvm_pTrQjIAgM8G92AblIpTP-1qYEvFRYqTKtgqA;ED. CALATRAVA (Torre 2);Salón 1001
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQAiMCQLw6ehRqI-qZi1V7FNAc45wcYurLKqX9IIRT9g3a8;ED. CALATRAVA (Torre 2);Salón 201
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQAiSvd6eEazSJGZzkWQL47qAWxac44x2wfZUzY_85ZiZ0Q;ED. CALATRAVA (Torre 2);LABORATORIO TESLA
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQBRZKYj1KTjSrceh657LDi8AWG8IIdqImv5X0JPQxot8tc;Ed.Nuevo;Auditorio 1
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQAUUKEVSwqET75HxQ5e4h-tAf42UqOfNG0eAxmMqnn6IF0;Ed.Nuevo;Auditorio 2
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQAz2bSISjE5TpfvC_1EbCl2Aa1HFiicsmtcGPZhnwuYwIk;Ed.Nuevo;Auditorio 3
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQDhPb_aLOHlT6iC2S-sxj65Aad4aXQQ75RIdVM7Joeqrjs;Ed.Nuevo;Auditorio 4
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQCIJHBmSUdVSKtF5csnFx1fAYFJsjOsu6FCEBSsyuDdclo;Pedro Fermín;Auditorio 1
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQBeOhFfrv9SQrAL4XFxKvg4Ae-le3OEfRxUwLWtP-wHoBM;Pedro Fermín;Auditorio 2
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQDbLUFTuA4bRr4VfcktHwbXAdGPWjRLsP7xJeNnpa_xfcw;Pedro Fermín;Auditorio 3
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQApHBZ7tfPZRrm7d4SvD7YPAQOMvsjR2PYFMjFBKI5P1lc;Casur;PLAZA CAPITAL  203
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQAsYqwBzAK8Q5eKrUobJisUAc2mt79naXhlqBTr3Vp-B_g;Casur;Salón 204
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQDLjpEDanu1RLvh9o_uetXaAbzLiyKa03qydHzZ1fumK7c;Casur;Salón 208
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQBQ-xFPOlFcT6p592FvFkwXAb53RBIGPTatwvg0UQHvtLs;Casur;Salón 205
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQD8T0KYQHHMRpZTI70mjyTSAUwRDXzgaVbkgHvVeQtHGgI;Casur;Salón 206
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQD9Is5NyRUESbht1yKUAecbAWsrpgbSM95Tki3TXKaPYt0;Casur;Sala Computo 4 (Mac) 207 CASUR
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQCJnuOxbxolSokKagrGrFkuAWDyBW3EoM_EM7ul_fE9Sic;Casur;Salón 209
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQCOUNcJ65XBTKtnsYMn4-7_ASxbQEif-fvZfvNmFfmAz0s;Casur;Salón 302
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQDgAHJ4es29RIVQ6wSq-eV8AQxI1hxihYG_UNTe1JhXMQQ;Casur;Salón 303
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQBK-jJ_ed8GSILuKeEvr4ngAV8l3KgO1Pwx6TAnW6jgYpg;Casur;Salón 309 HYFLEX
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQBmdDcDxR_pRLnkF0q4jpe_AS_K6sXA9l4SM_IYSQf42kc;Casur;Salón 508
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQAnQUTNIhTqSqAbQ9-QjwYVAd32EVqKWe87VIblKu-TMz8;Casur;Salón 509
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQCrxnPfmj4uQJ7Sv9-FqAxPAWigcPBgDZ8RqvSSuJcnMUA;Casur;LABORATORIO INNOVACIÓN PEDAGÓGICA
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQBQGAHddvtdTZpTAt86hEZ9Af2geVYB_ot2_KtLYkX4Nek;Casur;Sala NASH
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQBtVC1DEAE3RJuqXLf_UJSvAX9d3h-KyDVvOd6CSmod-Ss;Edificio EL TIEMPO;Sala BOOLE
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQA2DDoi8UsbTaiJwOu7wKyDAdS6gcg-q7X18h2-w_D_axs;Edificio EL TIEMPO;LABORATORIO NOETHER
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQBqZouRHhUtSpHN5HXYWHZeAf2AbfsBshUY6pIGBSnGHQ4;Edificio EL TIEMPO;LABORATORIO DE TERRITORIOS
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQBmcwoHv_6URrxcmganEdf1AT3YrHU7K7Z1YTLQW9AbM54;Edificio EL TIEMPO;LEGAL DESING
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQDdIvphI3FiRrBBLN2J9Qf2AaBK6MOR5yXQfAHcQjTa1d8;ED. CECILIA HERNÁNDEZ MARIÑO (Ed Calle 12C);Taller Experimental 1 - PISO 2
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQCSu7-Z9eBLQpvJNlzkjZFTAQVxGahz8PEavc-m8s4kSbE;ED. CECILIA HERNÁNDEZ MARIÑO (Ed Calle 12C);Taller Experimental 2 - PISO 2
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQC4q8hl-1WoR7xsivEu6WFvAemDuwI-v8ysTkWeCg-QkXU;ED. CECILIA HERNÁNDEZ MARIÑO (Ed Calle 12C);Taller Experimental 3 - PISO 2
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQDs1Z-vCAYmSpsPbpjZxnbXAdzezQgPRhut9wNXmaLD5Zg;ED. CECILIA HERNÁNDEZ MARIÑO (Ed Calle 12C);Taller Experimental 4 - PISO 4
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQB7zk7iqL6-QLdIiJsDu_a4AUp_EGbUffYInsH7N6t7moo;ED. CECILIA HERNÁNDEZ MARIÑO (Ed Calle 12C);TALLER EXPERIMENTAL 5 PISO 6
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQAOeL259woYRZeUrthnwoW5AQS_0vO9nQDx5t1iz6sRCIM;Casur;Salón 505 Y 506
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQDJSL8JLH3tR7vSGbHcfgbMATruV0aHuME4HWwskE5oIM8;Quinta de Mutis;Salón 208
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQCmUstjoDZ8QKp7XW-iAx3vAf_SWVDAeuB1cM8TICzg5-U;Quinta de Mutis;Auditorio 301
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQADZIzxvnO7TpU7Gt6PfNa8AcA7MjPBm5YsQ4a9E76jlVw;Quinta de Mutis;Auditorio 302
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQBXyUD2bG29T4NOS7jdDDSzAXWUhUYCS8UcYWehVB9VrOU;Quinta de Mutis;Auditorio 303
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQDb40kNkMwyTq9m8HXsNSdzASoW8XWs_1A5Fr7uIJIyVCQ;Quinta de Mutis;Auditorio 311
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQAYQRgdokm_QJyMA1OnO25aAYJvfWVglOMkCyLmVXTVrnE;Quinta de Mutis;Salón  312
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQBOHZSESRTFSZVD0H_FxIdzAW7RtQKgAMbaXRAdSTez-7s;Quinta de Mutis;Salón  313
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQDND5e6Crm9TIHjGrIC-WVEAVN81Zx8G-_Nuuel73XQobo;Quinta de Mutis;Salón 203
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQAt7ZbCdPHtRLJSZUSz4YT1Af-uXaRutH2XQpjF3OUnpZk;Quinta de Mutis;Salón 101
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQBh-YBlsKqdR5TdOFUp0VSCAWgXPtGvYs32ksSyYrDmikg;Quinta de Mutis;Salón 102
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQDLMCzJ9ndBTIA6JnO_OfL1AfdvdzIiwp_xYPwQ7uVT3tE;Quinta de Mutis;Salón 103
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQANV7usE5BaRag-zeJ3xElkAWFLoaV5RjD3ynXsH-6yOVc;Quinta de Mutis;Salón 104
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQB4kMvEe2VySIDmpTZpRvr3AcyDsLfhAGMF535aKKj3JSo;Quinta de Mutis;Salón 105
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQDZ9o4vD-IVQY5Xfq6840E6ATVI1CPkoLcfSOvfHuFW-a8;Quinta de Mutis;Salón 114
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQCUGvSLpUcYSqWgipBy9N9FAauSrcGIDfaAGYRSSdYEo-E;Quinta de Mutis;Salón 115A
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQBhryjgtDXzR5xJPV05cWoBASzMQZ9jlf0-yciM1SiZro4;Quinta de Mutis;Salón 116
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQCiaKfS_lpHSZEKQ6vc4WLYAfYM1QP-xTau6iRj0ZXXRfA;Quinta de Mutis;Salón 106
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQAGsFJQ8ENYRrJdb5tn9KoPAfGtWhnDbxAB5MIZsipxeTU;Quinta de Mutis;Salón 107
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQCl3IX_wA66Ta14Bw3A8UDMAXX5vttu1JmauPuC3EpMPbM;Quinta de Mutis;Salón 108
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQDr6cCArC9FR5k9HcwO7MANAWOntM9zWy6fWfPQ3dbYPzQ;Quinta de Mutis;Salón 109
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQAQZhdvCk_fRoyuFP1dTN5aAWa9L0nxalWqKJsr7C_d77Q;Quinta de Mutis;Salón 110
